bowler,team,islegal,match_id,WII,DPI,COI,BER,MIQ_B,ERS,Choke_Rate,PBI,recent_form,DCI,wkt_pt,score,rank
MG Bracewell,DC,186,9,0.33548387096774196,0.7258064516129032,0.2903225806451613,-0.046900223419633194,0.4132892222571013,-1.7000000000000002,0.12903225806451613,1.6666666666666665,-0.07652137522329111,,1.8,3.537179451571166,72
R Parag,GT,114,6,0.2421052631578947,0.24868421052631579,0.15789473684210525,-0.38007152016180445,0.21133915035907128,1.320909880778121,0.10526315789473684,0.8333333333333333,-0.30269235531096444,,0.8,3.236765857418809,73
Cheepurapalli Stephen,DC,156,7,0.1846153846153846,0.34871794871794876,0.07692307692307693,-0.3399685894482753,0.8455857532724694,0.25429835651074584,0.0,1.0714285714285714,-0.34773253210538463,,0.8,2.8938679699145373,74
K Rabada,MI,210,9,0.18857142857142856,0.7571428571428572,0.34285714285714286,-0.2107545629202926,0.4045345173027578,-0.320814573306421,0.08571428571428572,0.5555555555555556,-0.34092274410198425,,1.2,2.66188390681533,75
M Jansen,GT,207,11,0.15652173913043477,0.9666666666666668,0.2608695652173913,-0.25808950884491066,-0.48150304196105237,-1.0534440839663928,0.08695652173913043,0.4545454545454546,0.06114248561991024,0.9879976580796253,1.0,2.1816634562262576,76
V Puthur,LSG,108,5,0.5444444444444444,0.6685185185185185,0.16666666666666666,0.21413794983130124,-1.6519722479837888,-3.003381343384035,0.1111111111111111,1.5,1.7580832516128022,,1.8,2.1076083508170202,77
A Kamboj,RR,162,7,0.28148148148148144,0.5898148148148149,0.2962962962962963,0.027431561934418133,0.11389713105175302,-1.7255102040816344,0.2222222222222222,1.0714285714285714,-0.17452565473284332,,1.4,2.1025362204150797,78
PP Chawla,RR,191,9,0.23874345549738216,0.598952879581152,0.2198952879581152,-0.19958085888305102,-0.723249716985483,-1.5626357478561033,0.09424083769633508,0.5555555555555556,0.28860432465680874,1.0424710424710424,1.4,1.952997059691754,79
Mukesh Kumar,GT,108,6,0.31111111111111106,0.6833333333333332,0.5,-0.25707258370425384,-0.486429314484593,-1.5978835498228732,0.05555555555555555,0.8333333333333333,-0.02165454375651403,0.7878151260504201,1.0,1.8081084676155192,80
Azmatullah Omarzai,RR,241,13,0.2190871369294606,0.7170124481327802,0.22406639004149378,-0.17734266233326465,0.08634785974244909,-1.1379587351041887,0.0995850622406639,0.576923076923077,-0.4135604828049219,,1.6,1.7941600937675495,81
MJ Santner,PBKS,216,10,0.18333333333333332,0.6777777777777778,0.19444444444444445,-0.4505462814435338,-0.6050079726750195,-1.1762409479920997,0.08333333333333333,0.75,-0.3355421708647296,1.054147465437788,1.2,1.5756989813512945,82
Tanush Kotian,SRH,216,10,0.38333333333333336,0.7101851851851851,0.25,0.10426151676222359,-1.7341498282386698,-4.092758640479915,0.1111111111111111,1.5,0.5563362296602026,0.9764918625678118,2.8,1.5648107699012817,83
Ravi Teja,LSG,120,5,0.42999999999999994,0.4,0.0,-0.15923280465644368,-0.07943556931271659,-3.268318584070798,0.15,2.0,0.3086661762985727,,1.6,1.3816792182586146,84
NT Ellis,LSG,204,9,0.2882352941176471,0.5931372549019608,0.35294117647058826,-0.17460676703236724,-1.5540620297865135,-3.788375350140056,0.058823529411764705,0.5555555555555556,0.8827437771244272,,2.0,-0.7856075593769929,85
AD Russell,DC,205,14,0.15219512195121954,0.35195121951219516,0.2634146341463415,-0.7582779780446105,-1.3035137401246355,-1.9138269986893837,0.02926829268292683,0.7142857142857142,0.251648282158823,,1.0,-1.212855452121409,86
Mohammad Ghazanfar,CSK,232,11,0.23275862068965517,0.6336206896551725,0.15517241379310345,-0.5611491207150748,-1.7309600192123205,-2.656479390175043,0.10344827586206896,0.9090909090909092,-0.3275811186259344,,1.8,-1.4420787396374635,87
MP Stoinis,PBKS,220,16,0.07636363636363636,0.3490909090909091,0.13636363636363635,-0.6764752278610159,-1.9382281280322584,-1.6813349479467898,0.0,0.0,-0.4135604828049219,0.8855685131195334,0.6,-2.662212091707271,88
GD Phillips,RR,108,7,0.3444444444444445,0.40925925925925927,0.3333333333333333,-0.5837912072215348,-3.398932699166037,-3.703007518796993,0.16666666666666666,0.7142857142857142,0.5463610261301025,,1.2,-3.9713809810650442,89
DL Chahar,DC,186,8,0.1096774193548387,0.618279569892473,0.16129032258064516,-0.5329511487411677,-2.549379195269665,-3.109142163859548,0.0,0.3125,-0.35624090668559694,,0.6,-4.745966102728021,90
C Green,RCB,156,8,0.16923076923076924,0.5375000000000001,0.11538461538461539,-0.26078489463850213,-3.153107200183115,-3.681930272108843,0.0,0.625,-0.07985839609043596,,0.8,-4.928565378405511,91
RD Chahar,RCB,246,12,0.08292682926829267,0.8634146341463415,0.1951219512195122,-0.3768400827951107,-4.234435807713559,-3.7425861097698374,0.04878048780487805,0.0,-0.33899430856119833,1.4103498542274053,0.6,-5.492262552173276,92
Yash Dayal,LSG,119,5,0.22184873949579834,0.5882352941176471,0.10084033613445378,-0.38618168048886675,-5.543772364974083,-5.522994498923703,0.10084033613445378,1.0,0.24017916552151716,0.9566326530612245,0.8,-7.44437201992156,93
MR Marsh,DC,131,6,0.40305343511450387,0.33129770992366414,0.183206106870229,-0.40138476981723237,-6.363706677748773,-7.758055938946171,0.0916030534351145,1.25,0.5292062516891501,,1.6,-10.134780829479515,94
LH Ferguson,GT,105,5,0.12571428571428572,0.42809523809523814,0.05714285714285714,-0.5933110273758916,-6.318388746803069,-5.8288016318205,0.0,0.5,-0.1601476199615905,,0.4,-11.38969664500867,95
