batter,team,runs,balls,num_innings,PPI,MDI,DFI,HOI,CCI,ERI,TBI,PVA,ORI,SAI,recent_form,RCI,BHI,DAI,BER,WR,partners,MIQ,score,rank
C Green,RCB,452.0,299.0,22.0,-0.07606242135249985,-0.1778449524529252,0.3559415722164978,0.3411371237458194,-0.07927053317604282,0.4884762624182815,0.0,1.25,1.2511197372349958,-0.023071411169337863,0.3796660172269726,0.2587642925403536,0.18481651985667957,-0.1215872661818258,-0.11196074221766761,3.31,-1.25,5.1433645183645185,11.12348871705382,44
AD Russell,DC,249.0,160.0,14.0,-0.33685125403526195,-0.19839882864160197,0.002797084120800708,0.075,-0.3309985894255558,0.621175890292669,-0.05342237061769617,1.0714285714285714,-0.30711317727403653,0.0,1.1093554260328884,0.19373260275786475,0.12409467321402468,0.0021898294587361367,0.21979997067762147,2.49,-0.7142857142857145,6.8594104308390005,10.82791454454231,45
Ishan Kishan,KKR,728.0,497.0,27.0,-0.0009707203648102736,-0.14114160211600224,-0.21615990194691936,0.2414486921529175,-0.025777786723156892,0.6895543231710884,0.0,1.7592592592592593,0.17672945148428987,0.0,-0.37736205298189296,0.3150392491184555,0.12950918935230327,-0.14512039191151005,-0.1302659059064939,4.34,-1.1111111111111112,4.80344073716592,10.307071428642338,46
AK Markram,SRH,367.0,254.0,17.0,0.22268050037248566,-0.2569284379788819,0.04637027443449515,0.2125984251968504,0.08551911571574489,-1.010534270997757,0.0,1.1764705882352942,-0.3166821138018161,-0.06581481608574558,1.5177757700367396,0.24899182978857984,0.029950738521081988,-0.09331455079479134,-0.04519790532302537,3.46,-1.4705882352941173,6.531982237339379,10.273279149364516,47
WG Jacks,LSG,633.0,404.0,24.0,-0.0008948408813198583,-0.22268977322822014,0.21331513949248349,0.2376237623762376,0.1780242229680431,1.756388811485965,0.0,1.4583333333333335,-0.024840556635412625,0.0,-0.5072727894103706,0.3032325880345494,0.2276341465643712,-0.14026888508131186,-0.0153822199174114,3.36,-1.458333333333333,4.697986577181209,10.062856182948813,48
Ramandeep Singh,LSG,303.0,202.0,21.0,0.17026249287894935,-0.11781458390186894,0.12429589821754994,0.1188118811881188,-0.10677284192532988,1.3169834846528534,0.0,0.5952380952380952,-0.19433925273183306,0.09290272973844416,2.0832417755090584,0.193101826101556,-0.1905708923751398,0.0008809994575773583,-0.30649593997016056,2.68,-0.8333333333333331,4.415061799367634,10.04145413811217,49
KA Pollard,CSK,238.0,154.0,11.0,0.0,-0.2900103910825619,0.19853940477266874,0.23376623376623376,0.14134581309541172,0.33292458494079863,0.0,1.5909090909090908,0.7096503496503495,-0.07677053789889621,0.5201912250024594,0.2580636834413507,0.06171869961182952,0.02248417350527543,0.3056623933841065,2.38,-1.1363636363636365,4.760598650742068,10.012709737476548,50
JM Sharma,RCB,284.0,176.0,21.0,0.0,-0.13159873102840225,0.07138785594848884,0.17045454545454544,0.0,0.20822069151920025,0.0,1.0714285714285714,1.2953107089725133,0.0,1.1503254918890742,0.1557191928773824,0.23867181621380107,-0.17707511186698144,-0.09678322561319508,2.19,-2.261904761904762,6.10852617631652,9.992683220206757,51
Abdul Samad,LSG,162.0,100.0,11.0,0.0,0.24924857874036044,-0.06716550314344116,0.18,-0.06478353107566592,1.3952700049378859,0.0,0.9090909090909092,0.538086303939961,0.0,-0.86660588637154,0.17597935112561308,0.25353587800836697,0.10658460336068787,0.08497764758079374,1.62,-1.3636363636363635,6.5298781768536,9.680460169411168,52
Nithish Kumar Reddy,GT,456.0,302.0,23.0,-0.26316806003918003,-0.1081202386700214,0.29266811624946953,0.2185430463576159,0.2692223506830247,0.5998990674244025,0.0,1.1956521739130435,0.5042846660787728,-0.6477991411880738,-0.5223660549699696,0.244965102393916,-0.0796094186808709,0.04433921942164898,-0.14941596584115224,2.79,-0.6521739130434784,5.785602647788911,9.52252359787806,53
