striker,runs,balls,outs,fours,sixes,dots,SR,Bat_avg,bpb,dot_%,pace_index
Ravi Bishnoi,108,118,15,9,5,73,91.52542372881356,7.2,8.428571428571429,61.86440677966102,0.6984881604031119
Ravi Teja,58,55,9,5,3,31,105.45454545454545,6.444444444444445,6.875,56.36363636363637,0.7492158352643855
S Dube,2042,1403,59,161,104,544,145.54526015680685,34.610169491525426,5.29433962264151,38.77405559515324,1.216156592892925
SA Yadav,3963,2257,110,404,220,868,175.58706247230836,36.027272727272724,3.6169871794871793,38.45813026140895,1.6704213577868139
SB Dubey,295,176,9,25,16,52,167.61363636363637,32.77777777777778,4.2926829268292686,29.545454545454547,1.371936137692681
SE Rutherford,1760,1140,67,139,105,470,154.3859649122807,26.26865671641791,4.672131147540983,41.228070175438596,1.2830861939176408
SH Johnson,125,84,9,15,4,38,148.8095238095238,13.88888888888889,4.421052631578948,45.23809523809524,0.884223965499746
SK Rasheed,116,88,5,15,3,43,131.8181818181818,23.2,4.888888888888889,48.86363636363637,0.8572796864386558
SM Curran,1651,1252,72,145,65,514,131.86900958466452,22.930555555555557,5.961904761904762,41.054313099041536,0.9403675304293155
SN Thakur,266,167,18,26,11,63,159.2814371257485,14.777777777777779,4.513513513513513,37.724550898203596,0.9926571499580911
SP Narine,1724,1155,84,165,110,634,149.26406926406926,20.523809523809526,4.2,54.891774891774894,1.0611724851344428
SS Iyer,2529,1758,61,241,91,622,143.8566552901024,41.459016393442624,5.295180722891566,35.381114903299206,1.3551107286077462
SS Prabhudessai,135,94,6,11,6,39,143.61702127659575,22.5,5.529411764705882,41.48936170212766,0.8844018935004214
SV Samson,2812,1891,89,293,113,724,148.70438921205712,31.59550561797753,4.657635467980295,38.28662083553675,1.328887407165465
Sameer Rizvi,173,131,6,19,6,58,132.06106870229007,28.833333333333332,5.24,44.274809160305345,0.8973814515121372
Sanvir Singh,179,103,5,14,10,38,173.7864077669903,35.8,4.291666666666667,36.89320388349515,1.081054216272371
Saurav Chauhan,129,122,7,14,1,56,105.73770491803279,18.428571428571427,8.133333333333333,45.90163934426229,0.7584524373683372
Shahbaz Ahmed,491,356,23,28,26,139,137.92134831460675,21.347826086956523,6.592592592592593,39.04494382022472,0.9410100461076082
Shakib Al Hasan,989,738,46,118,25,296,134.01084010840108,21.5,5.160839160839161,40.10840108401084,0.9766662899097218
Shashank Singh,953,544,25,83,45,149,175.18382352941177,38.12,4.25,27.389705882352942,1.675765074577773
Shubman Gill,3223,2282,77,351,101,855,141.23575810692375,41.857142857142854,5.048672566371682,37.46713409290096,1.323841188926017
Sikandar Raza,2447,1616,82,204,122,663,151.42326732673268,29.841463414634145,4.957055214723926,41.027227722772274,1.250166993034126
Smaran Ravichandran,158,110,5,10,5,28,143.63636363636363,31.6,7.333333333333333,25.454545454545453,0.9113881203107844
Sumit Kumar,94,70,3,8,4,30,134.28571428571428,31.333333333333332,5.833333333333333,42.857142857142854,0.8576430623440802
Swapnil Singh,87,61,5,8,3,19,142.62295081967213,17.4,5.545454545454546,31.147540983606557,0.8644447880253587
T Stubbs,2099,1363,54,159,102,439,153.99853264856932,38.870370370370374,5.222222222222222,32.208363903154805,1.5269858225595954
TA Boult,182,150,9,11,7,60,121.33333333333333,20.22222222222222,8.333333333333334,40.0,0.7993894017262798
