bowler,batter_order,runs_conceded,balls,wkts,eco,SR,Curr_Tm
RD Chahar,tail,19,17,3,6.71,5.67,CSK
PP Chawla,middle,110,70,3,9.43,23.33,
Chirag Jani,middle,56,47,3,7.15,15.67,PBKS
A Mishra,middle,91,45,3,12.13,15.0,
Yash Thakur,tail,21,30,3,4.2,10.0,PBKS
A Kamboj,middle,115,72,3,9.58,24.0,GT
RA Bawa,top,49,42,3,7.0,14.0,SRH
KH Pandya,tail,102,73,3,8.38,24.33,SRH
Yuvraj Singh,top,138,83,3,9.98,27.67,CSK
KC Cariappa,top,46,34,3,8.12,11.33,MI
R Sai Kishore,tail,37,32,3,6.94,10.67,MI
Zeeshan Ansari,middle,99,60,3,9.9,20.0,SRH
Ramandeep Singh,middle,238,154,3,9.27,51.33,LSG
AJ Tye,middle,122,57,3,12.84,19.0,
CH Morris,top,367,199,3,11.07,66.33,DC
V Kaverappa,top,80,47,3,10.21,15.67,PBKS
JG Bethell,middle,86,50,3,10.32,16.67,LSG
V Nigam,tail,64,41,3,9.37,13.67,MI
Naseem Shah,middle,56,37,3,9.08,12.33,LSG
Utkarsh Singh,top,64,54,3,7.11,18.0,PBKS
Naseem Shah,top,34,35,2,5.83,17.5,LSG
BJ McMullen,middle,132,91,2,8.7,45.5,RR
RA Jadeja,tail,46,34,2,8.12,17.0,RCB
DL Chahar,top,251,143,2,10.53,71.5,
Chirag Jani,tail,2,7,2,1.71,3.5,PBKS
BJ McMullen,top,223,138,2,9.7,69.0,RR
D Wiese,middle,182,119,2,9.18,59.5,GT
S Gopal,top,124,82,2,9.07,41.0,GT
DR Sams,top,37,29,2,7.66,14.5,GT
R Shepherd,tail,34,34,2,6.0,17.0,GT
SZ Mulani,tail,11,10,2,6.6,5.0,LSG
R Ashwin,tail,38,26,2,8.77,13.0,KKR
Naman Dhir,top,55,29,2,11.38,14.5,GT
SH Johnson,tail,1,6,2,1.0,3.0,
CH Gayle,top,17,11,2,9.27,5.5,CSK
DL Chahar,middle,107,63,2,10.19,31.5,
Mukesh Kumar,tail,50,32,2,9.38,16.0,
RD Chahar,top,257,141,2,10.94,70.5,CSK
CH Morris,middle,150,79,2,11.39,39.5,DC
Mohsin Khan,middle,88,56,2,9.43,28.0,LSG
Mohsin Khan,tail,24,14,2,10.29,7.0,LSG
D Wiese,top,164,84,2,11.71,42.0,GT
Noor Ahmad,tail,41,25,2,9.84,12.5,MI
Naman Dhir,middle,49,31,2,9.48,15.5,GT
Mujeeb Ur Rahman,middle,68,46,2,8.87,23.0,
Mustafizur Rahman,tail,20,23,2,5.22,11.5,
CJ Jordan,top,36,29,2,7.45,14.5,
Mujeeb Ur Rahman,tail,2,7,2,1.71,3.5,
