bowler,phase,pitch,runs_conceded,balls,wkts,dots,eco,SR,Curr_Tm
A Sheth,Middle,pace,110,84,4,23,7.86,21.0,DC
AR Patel,Death,neutralish,143,63,4,12,13.62,15.75,CSK
AR Ramjani,Death,spin,78,54,4,16,8.67,13.5,PBKS
Mustafizur Rahman,PP,pace,163,96,4,33,10.19,24.0,
T Natarajan,Death,spin,146,58,4,6,15.1,14.5,CSK
Swapnil Singh,Middle,pace,95,60,4,14,9.5,15.0,
SP Narine,Middle,neutralish,105,72,4,19,8.75,18.0,KKR
SS Ghosh,PP,pace,109,72,4,27,9.08,18.0,MI
Arshdeep Singh,PP,neutralish,106,72,4,26,8.83,18.0,LSG
Arshdeep Singh,Middle,pace,173,120,4,37,8.65,30.0,LSG
Sandeep Sharma,Death,neutralish,192,102,4,20,11.29,25.5,LSG
Akash Vasisht,Middle,neutralish,52,30,4,6,10.4,7.5,DC
Suryansh Shedge,Death,spin,83,36,4,7,13.83,9.0,CSK
Sikandar Raza,Middle,spin,340,228,4,57,8.95,57.0,MI
PWH de Silva,Middle,spin,306,222,4,67,8.27,55.5,RCB
Utkarsh Singh,Middle,spin,104,90,4,23,6.93,22.5,PBKS
CV Varun,PP,spin,120,78,4,26,9.23,19.5,PBKS
PP Chawla,Death,spin,52,36,4,13,8.67,9.0,
Mustafizur Rahman,PP,spin,72,48,4,23,9.0,12.0,
Z Khan,PP,pace,109,78,4,35,8.38,19.5,
Naveen-ul-Haq,Death,neutralish,95,51,4,9,11.18,12.75,SRH
A Nagwaswalla,PP,neutralish,38,36,4,19,6.33,9.0,RR
Noor Ahmad,Death,neutralish,52,30,4,9,10.4,7.5,MI
Abrar Ahmed,Death,spin,28,22,4,9,7.64,5.5,GT
A Zampa,Death,pace,97,76,3,20,7.66,25.33,RR
SS Ghosh,Middle,pace,86,60,3,17,8.6,20.0,MI
Naman Dhir,Middle,spin,75,42,3,12,10.71,14.0,GT
M Theekshana,Death,neutralish,65,33,3,5,11.82,11.0,
Abdul Samad,Middle,pace,65,48,3,14,8.12,16.0,LSG
LH Ferguson,PP,pace,44,36,3,19,7.33,12.0,
SH Johnson,PP,spin,94,54,3,11,10.44,18.0,GT
Mohammed Siraj,Death,pace,88,48,3,15,11.0,16.0,
AS Roy,Middle,spin,101,84,3,26,7.21,28.0,
Harpreet Brar,Middle,neutralish,112,78,3,17,8.62,26.0,RR
Atharva Ankolekar,PP,spin,138,78,3,25,10.62,26.0,MI
PWH de Silva,PP,neutralish,44,30,3,12,8.8,10.0,RCB
S Gopal,Middle,spin,148,84,3,22,10.57,28.0,GT
TA Boult,Middle,spin,81,54,3,12,9.0,18.0,MI
Mohammed Shami,Middle,pace,229,150,3,36,9.16,50.0,GT
MA Starc,Middle,spin,118,66,3,12,10.73,22.0,KKR
Kuldeep Yadav,Death,neutralish,61,29,3,9,12.62,9.67,SRH
Azmatullah Omarzai,PP,pace,182,102,3,39,10.71,34.0,LSG
A Zampa,Death,neutralish,63,30,3,5,12.6,10.0,RR
A Nagwaswalla,Death,neutralish,60,36,3,14,10.0,12.0,RR
MG Bracewell,Middle,spin,75,42,3,9,10.71,14.0,
Harsh Dubey,PP,spin,133,66,3,23,12.09,22.0,RCB
A Mishra,Death,spin,61,36,3,10,10.17,12.0,
Yash Dayal,Middle,pace,103,60,3,13,10.3,20.0,
Harshit Rana,Death,pace,101,66,3,22,9.18,22.0,KKR
J Anderson,Death,pace,42,21,3,6,12.0,7.0,
PWH de Silva,Middle,neutralish,59,36,3,10,9.83,12.0,RCB
Suryansh Shedge,Middle,neutralish,164,96,3,21,10.25,32.0,CSK
M Markande,PP,spin,150,108,3,41,8.33,36.0,SRH
Shivank Vashisth,Middle,spin,42,36,3,12,7.0,12.0,RCB
Shashank Singh,Death,pace,99,48,3,7,12.38,16.0,PBKS
Shakib Al Hasan,Middle,spin,115,78,3,21,8.85,26.0,PBKS
