bowler,opposition,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
JG Bethell,LSG,140,6,18,12.35,11.33,11.2,RR
Karan Lal,CSK,109,6,18,9.08,12.0,12.0,RR
A Nortje,DC,145,6,27,9.67,15.0,15.0,
Mohammad Ghazanfar,RCB,238,6,38,10.35,23.0,23.0,SRH
Rashid Khan,SRH,316,6,49,10.53,30.0,30.0,MI
Rashid Khan,PBKS,155,6,31,8.61,18.0,18.0,MI
Rashid Khan,LSG,161,6,41,7.67,21.0,21.0,MI
Ashutosh Sharma,CSK,161,6,42,9.47,17.0,17.0,RCB
GJ Maxwell,RCB,268,6,42,9.93,27.0,27.0,DC
C Sakariya,DC,199,6,32,9.05,22.0,22.0,SRH
LS Livingstone,GT,199,6,25,10.47,19.0,19.0,KKR
Ashwani Kumar,MI,152,6,13,12.67,12.0,12.0,RR
LI Meriwala,MI,76,6,13,9.5,8.0,8.0,DC
PHKD Mendis,MI,113,6,19,9.42,12.0,12.0,DC
Imran Tahir,RCB,155,6,34,9.69,16.0,16.0,CSK
Imran Tahir,DC,56,6,23,7.0,8.0,8.0,CSK
LS Livingstone,MI,86,6,19,9.92,8.67,8.4,KKR
JR Hazlewood,RCB,259,6,47,9.59,27.0,27.0,RR
Noor Ahmad,KKR,81,6,28,6.75,12.0,12.0,MI
LI Meriwala,PBKS,113,6,32,7.53,15.0,15.0,DC
C Sakariya,LSG,146,6,28,8.11,18.0,18.0,SRH
A Kamboj,KKR,95,6,27,7.92,12.0,12.0,GT
Tanush Kotian,RR,157,6,42,7.42,21.17,21.1,CSK
Noor Ahmad,CSK,156,6,29,9.75,16.0,16.0,MI
PJ Cummins,DC,186,6,28,9.79,19.0,19.0,
Imran Tahir,LSG,116,6,23,9.67,12.0,12.0,CSK
Harshit Rana,RR,110,6,27,9.57,11.5,11.3,KKR
C Green,DC,169,6,36,8.05,21.0,21.0,KKR
LI Meriwala,RR,164,6,41,8.63,19.0,19.0,DC
BA Stokes,GT,227,6,35,9.87,23.0,23.0,RR
PJ Cummins,KKR,167,6,45,8.35,20.0,20.0,
A Zampa,LSG,112,6,26,8.0,14.0,14.0,SRH
LS Livingstone,DC,249,6,32,10.83,23.0,23.0,KKR
KA Maharaj,RCB,90,5,26,8.06,13.4,11.1,SRH
Abhishek Sharma,SRH,123,5,24,8.79,16.8,14.0,MI
Ravi Bishnoi,DC,92,5,26,7.67,14.4,12.0,GT
YS Chahal,CSK,168,5,25,10.61,19.0,15.5,RCB
Rashid Khan,RCB,151,5,44,7.55,24.0,20.0,MI
Rasikh Salam,RR,264,5,21,11.56,27.4,22.5,MI
M Theekshana,DC,109,5,21,9.48,13.8,11.3,
Naveen-ul-Haq,GT,130,5,16,11.64,13.4,11.1,SRH
Rasikh Salam,CSK,146,5,22,9.73,18.0,15.0,MI
YS Chahal,DC,214,5,30,11.36,22.6,18.5,RCB
Rasikh Salam,MI,191,5,28,10.05,22.8,19.0,MI
Mohammad Ghazanfar,DC,55,5,20,6.88,9.6,8.0,SRH
Mayank Dagar,GT,189,5,25,9.45,24.0,20.0,LSG
Mohammad Ghazanfar,MI,115,5,21,9.58,14.4,12.0,SRH
M Siddharth,KKR,153,5,30,10.93,16.8,14.0,CSK
PJ Cummins,PBKS,177,5,24,11.8,18.0,15.0,
Atharva Ankolekar,DC,65,5,16,8.86,8.8,7.2,MI
VG Arora,SRH,108,5,26,9.0,14.4,12.0,KKR
Mayank Dagar,SRH,213,5,33,8.88,28.8,24.0,LSG
M Markande,DC,91,5,29,8.27,13.2,11.0,
DS Rathi,RR,125,5,27,7.81,19.2,16.0,KKR
R Sai Kishore,SRH,154,5,19,10.15,18.2,15.1,MI
R Sai Kishore,LSG,203,5,26,10.68,22.8,19.0,MI
MJ Owen,LSG,163,5,12,13.58,14.4,12.0,DC
BA Stokes,PBKS,143,5,25,8.94,19.2,16.0,RR
Kuldeep Yadav,MI,145,5,17,9.06,19.2,16.0,SRH
AR Patel,LSG,232,5,35,9.67,28.8,24.0,CSK
BA Stokes,KKR,159,5,44,7.57,25.2,21.0,RR
Kuldeep Yadav,KKR,178,5,32,8.9,24.0,20.0,SRH
Avesh Khan,MI,214,5,36,9.3,27.6,23.0,GT
R Sai Kishore,RR,232,5,45,9.67,28.8,24.0,MI
S Dube,SRH,109,5,18,9.91,13.2,11.0,RR
GJ Maxwell,CSK,152,5,18,10.13,18.0,15.0,DC
AR Ramjani,MI,48,5,18,6.0,9.6,8.0,PBKS
AR Ramjani,RCB,106,5,14,9.64,13.2,11.0,PBKS
GJ Maxwell,LSG,200,5,34,10.0,24.0,20.0,DC
GJ Maxwell,MI,167,5,33,8.49,23.6,19.4,DC
Yash Thakur,KKR,116,5,25,8.29,16.8,14.0,MI
Shaheen Shah Afridi,LSG,129,5,35,8.51,18.2,15.1,MI
V Puthur,RR,124,5,20,11.27,13.2,11.0,DC
S Dube,CSK,119,5,26,9.15,15.6,13.0,RR
Shaheen Shah Afridi,GT,36,5,12,9.0,4.8,4.0,MI
BA Stokes,RR,65,5,20,9.29,8.4,7.0,RR
Yash Thakur,CSK,116,5,26,8.29,16.8,14.0,MI
Fazalhaq Farooqi,PBKS,160,5,36,9.23,20.8,17.2,CSK
SL Malinga,RCB,68,5,23,7.56,10.8,9.0,PBKS
R Ashwin,CSK,140,5,36,7.78,21.6,18.0,KKR
HH Pandya,RR,264,5,53,9.78,32.4,27.0,MI
Ravi Teja,CSK,91,5,19,8.27,13.2,11.0,RCB
Tanush Kotian,SRH,196,5,32,8.91,26.4,22.0,CSK
Sandeep Sharma,MI,163,5,41,8.58,22.8,19.0,
S Lamichhane,GT,65,5,14,9.29,8.4,7.0,DC
T Natarajan,DC,254,5,34,11.21,27.2,22.4,CSK
C Green,CSK,225,5,26,10.71,25.2,21.0,KKR
A Nagwaswalla,SRH,51,5,21,7.29,8.4,7.0,RR
HV Patel,KKR,166,5,27,9.76,20.4,17.0,GT
Noor Ahmad,RR,95,5,20,7.92,14.4,12.0,MI
V Nigam,RCB,108,5,23,9.0,14.4,12.0,GT
PHKD Mendis,RCB,129,5,23,9.21,16.8,14.0,DC
Shashank Singh,DC,204,5,49,10.2,24.0,20.0,PBKS
Tanush Kotian,RCB,194,5,25,9.7,24.0,20.0,CSK
