striker,runs,balls,outs,fours,sixes,dots,SR,Bat_avg,bpb,dot_%,bowling_type
SN Thakur,1,3,1,0,0,3,33.33,1.0,inf,100.0,spin
TU Deshpande,1,4,2,0,0,3,25.0,0.5,inf,75.0,spin
Vaibhav Suryavanshi,1,2,1,0,0,1,50.0,1.0,inf,50.0,spin
YV Dhull,1,4,1,0,0,3,25.0,1.0,inf,75.0,spin
C Sakariya,1,4,1,0,0,3,25.0,1.0,inf,75.0,pace
CV Varun,1,2,1,0,0,1,50.0,1.0,inf,50.0,pace
KV Sharma,1,1,0,0,0,0,100.0,inf,inf,0.0,pace
M Siddharth,1,3,1,0,0,3,33.33,1.0,inf,100.0,pace
Ravi Teja,1,5,1,0,0,4,20.0,1.0,inf,80.0,pace
YS Chahal,1,6,2,0,0,5,16.67,0.5,inf,83.33,pace
A Kamboj,0,1,1,0,0,1,0.0,0.0,inf,100.0,spin
Akash Deep,0,1,0,0,0,1,0.0,,inf,100.0,spin
Anmolpreet Singh,0,1,1,0,0,1,0.0,0.0,inf,100.0,spin
DG Nalkande,0,2,0,0,0,2,0.0,,inf,100.0,spin
MJ Suthar,0,1,0,0,0,1,0.0,,inf,100.0,spin
Mukesh Kumar,0,4,1,0,0,4,0.0,0.0,inf,100.0,spin
A Kamboj,0,1,0,0,0,1,0.0,,inf,100.0,pace
Aniket Verma,0,1,1,0,0,1,0.0,0.0,inf,100.0,pace
DG Nalkande,0,1,1,0,0,1,0.0,0.0,inf,100.0,pace
DS Rathi,0,1,1,0,0,1,0.0,0.0,inf,100.0,pace
Fazalhaq Farooqi,0,1,1,0,0,1,0.0,0.0,inf,100.0,pace
