striker,bowler,runs_scored,balls_bowled,outs,4s,6s,bat_sr,bowl_eco,dot%
B Sai Sudharsan,R Sai Kishore,51,32,1,2,2,159.38,9.56,18.75
Tilak Varma,Sikandar Raza,51,32,1,5,1,159.38,9.56,18.75
AM Rahane,Fazalhaq Farooqi,51,29,1,3,4,175.86,10.55,37.93
V Kohli,Naseem Shah,51,20,1,4,4,255.0,15.3,15.0
V Kohli,JJ Bumrah,50,35,1,2,2,142.86,8.91,22.86
SA Yadav,Kuldeep Yadav,50,28,1,6,2,178.57,10.71,25.0
MP Stoinis,Arshdeep Singh,50,27,1,3,4,185.19,11.11,25.93
S Dube,JJ Bumrah,50,26,1,2,4,192.31,11.77,19.23
Shubman Gill,Shashank Singh,50,24,1,7,2,208.33,12.5,33.33
V Kohli,Washington Sundar,49,44,1,5,1,111.36,6.82,43.18
Aniket Verma,Kuldeep Yadav,49,35,1,5,1,140.0,8.4,25.71
KL Rahul,Mayank Dagar,49,32,1,5,1,153.12,9.19,31.25
SV Samson,SP Narine,49,31,1,3,2,158.06,9.48,19.35
KL Rahul,Harpreet Brar,49,29,1,4,3,168.97,10.14,27.59
SP Narine,JR Hazlewood,49,29,1,7,2,168.97,10.14,44.83
B Sai Sudharsan,GJ Maxwell,49,27,1,3,3,181.48,10.89,18.52
P Simran Singh,S Dube,49,25,1,6,2,196.0,11.76,24.0
Abhishek Sharma,SP Narine,48,38,1,2,2,126.32,8.05,26.32
RM Patidar,CV Varun,48,35,1,5,0,137.14,8.4,25.71
SA Yadav,JJ Bumrah,48,34,1,7,0,141.18,8.47,29.41
JP Inglis,T Natarajan,48,31,1,6,0,154.84,9.29,19.35
KL Rahul,TA Boult,48,29,1,6,1,160.0,10.55,36.67
N Pooran,YS Chahal,48,28,1,3,3,171.43,10.71,32.14
Abhishek Sharma,CV Varun,48,27,1,5,1,177.78,10.89,22.22
Abishek Porel,Rasikh Salam,48,27,1,5,1,177.78,10.67,14.81
RD Rickelton,JR Hazlewood,48,26,1,5,2,184.62,11.31,34.62
Shubman Gill,JJ Bumrah,48,21,1,4,4,228.57,13.71,38.1
Tarang Gohel,GJ Maxwell,47,29,1,6,2,162.07,9.72,48.28
F du Plessis,MA Starc,47,28,1,3,3,167.86,10.07,32.14
TM Head,HH Pandya,47,27,1,5,1,174.07,10.67,18.52
SP Narine,Shashank Singh,47,25,1,7,2,180.77,12.0,50.0
JC Buttler,Arshdeep Singh,47,24,1,3,4,195.83,11.75,29.17
PD Salt,Shaheen Shah Afridi,47,24,1,7,1,195.83,12.0,33.33
KL Rahul,Abrar Ahmed,47,22,1,5,2,213.64,12.82,9.09
PD Salt,Noor Ahmad,47,22,1,4,4,213.64,13.09,36.36
BM Duckett,M Pathirana,47,20,1,6,2,235.0,14.4,25.0
RD Rickelton,Ashutosh Sharma,47,20,1,4,3,235.0,14.1,10.0
PD Salt,JR Hazlewood,46,42,1,6,0,109.52,6.57,42.86
TM Head,DAJ Bracewell,46,31,1,6,0,148.39,9.1,22.58
SA Yadav,Avesh Khan,46,22,1,5,3,209.09,12.82,40.91
GJ Maxwell,Ravi Bishnoi,45,37,1,5,0,121.62,7.3,35.14
WG Jacks,JJ Bumrah,45,32,1,3,2,140.62,8.62,25.0
B Sai Sudharsan,M Jansen,45,31,1,6,1,145.16,8.9,35.48
KL Rahul,PWH de Silva,45,31,1,2,2,140.62,9.1,18.75
Ishan Kishan,Rashid Khan,45,29,1,5,1,155.17,9.31,20.69
RD Gaikwad,JC Archer,45,26,1,4,2,173.08,10.85,30.77
Rahul Singh,Imran Tahir,45,24,1,5,2,187.5,11.25,33.33
C Green,JR Hazlewood,45,22,1,7,1,204.55,13.09,27.27
Jay Gohil,JC Archer,45,22,1,5,2,204.55,12.27,31.82
Ishan Kishan,JC Archer,45,20,1,2,4,225.0,13.5,20.0
RG Sharma,Kuldeep Yadav,44,44,1,4,1,100.0,6.14,52.27
S Dube,HH Pandya,44,41,1,2,2,107.32,6.59,48.78
LS Livingstone,T Natarajan,44,29,1,2,4,146.67,9.52,46.67
V Kohli,MA Starc,44,27,1,6,1,162.96,9.78,29.63
PD Salt,GJ Maxwell,44,26,1,6,1,169.23,10.38,23.08
RD Rickelton,JJ Bumrah,44,26,1,5,2,169.23,10.62,46.15
C Green,M Prasidh Krishna,44,25,1,4,3,176.0,10.56,36.0
Naman Dhir,AR Patel,44,24,1,5,1,183.33,11.0,20.83
DP Conway,Mujeeb Ur Rahman,44,23,1,5,2,183.33,12.26,37.5
N Pooran,Mayank Dagar,44,23,1,2,4,191.3,11.74,26.09
N Rana,T Natarajan,44,20,1,6,2,220.0,13.2,30.0
SS Iyer,AR Patel,43,36,1,2,2,119.44,7.83,38.89
TM Head,M Pathirana,43,32,1,4,1,134.38,8.25,31.25
JC Buttler,GJ Maxwell,43,30,1,6,0,143.33,8.8,26.67
Shashank Singh,T Natarajan,43,26,1,4,1,165.38,9.92,19.23
RD Gaikwad,PJ Cummins,43,25,1,4,2,172.0,10.56,24.0
Urvil Patel,Tanush Kotian,43,25,1,4,2,172.0,11.28,48.0
Naman Dhir,BA Stokes,43,22,1,4,1,195.45,11.73,13.64
Shashank Singh,A Zampa,42,32,1,1,2,131.25,7.88,18.75
JP Inglis,AR Patel,42,28,1,4,1,150.0,9.21,21.43
WG Jacks,Tanush Kotian,42,25,1,6,1,168.0,10.08,28.0
PD Salt,SP Narine,42,24,1,3,3,175.0,10.5,33.33
V Kohli,CV Varun,42,24,1,3,2,175.0,10.5,25.0
GJ Maxwell,CV Varun,42,21,1,4,3,200.0,12.0,28.57
B Sai Sudharsan,Arshdeep Singh,41,27,1,5,1,151.85,9.78,33.33
RD Gaikwad,B Kumar,41,27,1,7,0,151.85,9.56,44.44
SV Samson,KA Maharaj,41,27,1,4,2,151.85,9.11,44.44
H Klaasen,Harpreet Brar,41,25,1,4,2,164.0,9.84,28.0
SA Yadav,A Zampa,41,25,1,4,1,164.0,10.08,28.0
V Kohli,JC Archer,41,25,1,3,2,164.0,9.84,36.0
Smaran Ravichandran,JJ Bumrah,41,23,1,2,3,178.26,10.96,30.43
JP Inglis,HH Pandya,41,22,1,5,1,186.36,11.18,18.18
N Sindhu,Mohammed Shami,41,21,1,2,4,195.24,12.0,47.62
