Match,Player,TI,Team,Runs,I.Runs,B.Impact,Bowl,I.Wkts,Bo.Impact,Rank
S04M044,P Simran Singh,88.47,SRH,81(45),81.0,88.47,,,0.0,645
M032,JG Bethell,88.47,SRH,19(11),19.85,20.78,'2-10',2.48,67.69,646
S05M077,TA Boult,88.4,MI,18(11),16.44,16.05,'2-37',2.69,72.35,647
S04M072,KL Rahul,88.33,SRH,80(53),82.89,88.33,,,0.0,648
S04M002,JM Sharma,88.33,RCB,58(30),75.82,88.33,,,0.0,649
S05M061,PD Salt,88.31,RCB,60(30),71.95,88.31,,,0.0,650
S02M070,AM Rahane,88.29,KKR,73(45),77.82,88.29,,,0.0,651
S05M010,Shubman Gill,88.22,LSG,75(40),80.64,88.22,,,0.0,652
M005,Harpreet Brar,88.18,RCB,12(7),12.89,14.28,'2-27',2.94,73.9,653
S04M077,N Sindhu,88.09,DC,61(29),78.38,88.09,,,0.0,654
S03M013,M Pathirana,88.04,RCB,,,0.0,'3-47',4.23,88.04,655
S02M011,AD Russell,88.01,DC,35(21),35.14,35.38,'1-12',2.13,52.62,656
S04M040,CH Gayle,87.95,CSK,78(53),82.47,87.95,,,0.0,657
M029,HH Pandya,87.9,MI,37(22),37.96,45.12,'2-34',2.02,42.78,658
S02M004,WG Jacks,87.89,LSG,65(35),74.71,87.89,,,0.0,659
S02M056,DP Conway,87.87,GT,72(47),72.46,87.87,,,0.0,660
S03M001,Sandeep Sharma,87.86,RR,,,0.0,'3-21',3.61,87.86,661
S03M040,CV Varun,87.83,PBKS,,,0.0,'3-10',3.47,87.83,662
S03M054,AR Patel,87.81,CSK,5(6),3.15,1.45,'2-34',4.58,86.36,663
S02M008,SS Ghosh,87.77,MI,,,0.0,'4-30',4.04,87.77,664
S04M045,PP Shaw,87.75,RCB,71(54),75.5,87.75,,,0.0,665
S02M042,Arshdeep Singh,87.73,LSG,,,0.0,'3-30',3.97,87.73,666
S04M062,P Simran Singh,87.68,SRH,61(32),75.05,87.68,,,0.0,667
S05M067,S Dube,87.62,RR,11(10),10.81,10.68,'2-16',3.16,76.94,668
S03M072,RA Jadeja,87.61,DC,43(18),51.01,66.89,'1-33',0.96,20.72,669
S03M025,B Sai Sudharsan,87.54,RCB,62(34),77.25,87.54,,,0.0,670
S03M036,BM Duckett,87.5,CSK,74(45),78.18,87.5,,,0.0,671
S05M012,LI Meriwala,87.5,DC,,,0.0,'3-46',4.27,87.5,672
S04M080,R Shepherd,87.43,GT,,,0.0,'3-41',4.09,87.43,673
S03M014,AR Patel,87.43,CSK,38(20),42.36,49.84,'1-38',2.13,37.59,674
S03M046,Kuldeep Yadav,87.42,SRH,,,0.0,'3-26',3.82,87.42,675
S05M070,Avesh Khan,87.42,GT,12(18),8.84,6.42,'3-37',4.24,81.0,676
S04M025,Abhishek Sharma,87.39,MI,37(13),43.4,71.98,'1-33',1.01,15.41,677
S03M026,LS Livingstone,87.39,SRH,71(39),76.99,87.39,,,0.0,678
S04M076,Priyansh Arya,87.38,SRH,78(41),79.23,87.38,,,0.0,679
S03M023,B Kumar,87.37,KKR,,,0.0,'3-28',3.8,87.37,680
S03M029,RD Rickelton,87.35,RR,86(52),86.76,87.35,,,0.0,681
S05M028,Imran Tahir,87.32,CSK,0(1),-0.62,-1.73,'3-24',3.72,89.05,682
S04M016,Kuldeep Yadav,87.28,SRH,2(5),0.65,-0.85,'2-30',4.15,88.13,683
S02M038,A Zampa,87.28,SRH,,,0.0,'2-24',3.89,87.28,684
S04M072,PHKD Mendis,87.25,SRH,0(1),-0.65,-1.86,'2-21',3.56,89.11,685
S04M067,RM Patidar,87.22,KKR,72(38),82.03,87.22,,,0.0,686
S02M063,RD Gaikwad,87.18,RCB,81(55),82.1,87.18,,,0.0,687
M040,VR Iyer,87.14,SRH,66(34),71.18,87.14,,,0.0,688
S04M077,SP Narine,87.11,KKR,60(48),59.41,57.03,'2-43',1.58,30.08,689
S02M068,Abishek Porel,87.1,DC,73(35),77.74,87.1,,,0.0,690
S04M008,MP Yadav,87.1,PBKS,,,0.0,'3-46',4.2,87.1,691
S02M020,Shahbaz Ahmed,87.09,LSG,3(6),1.54,-0.49,'4-33',4.07,87.58,692
S02M005,PP Chawla,87.06,RR,,,0.0,'2-35',3.95,87.06,693
S04M028,Arshdeep Singh,87.0,LSG,12(6),14.92,19.63,'4-33',3.25,67.37,694
S05M044,Fazalhaq Farooqi,87.0,CSK,,,0.0,'3-18',3.01,87.0,695
S04M086,Priyansh Arya,86.91,SRH,75(35),82.07,86.91,,,0.0,696
S02M033,SA Yadav,86.85,DC,74(47),78.77,86.85,,,0.0,697
S02M041,GJ Maxwell,86.67,RR,35(30),35.45,35.83,'2-42',2.58,50.84,698
S02M063,Shashank Singh,86.64,PBKS,17(10),18.41,19.54,'1-10',2.57,67.1,699
S05M059,MJ Owen,86.63,DC,2(2),0.43,-0.56,'3-28',3.55,87.2,700
S04M046,T Stubbs,86.59,CSK,83(44),83.98,86.59,,,0.0,701
M042,PJ Cummins,86.58,MI,,,0.0,'3-54',4.4,86.58,702
S02M008,RR Rossouw,86.55,MI,66(32),76.05,86.55,,,0.0,703
M038,Tilak Varma,86.51,CSK,75(49),79.12,86.51,,,0.0,704
S03M071,GD Phillips,86.5,GT,20(9),22.9,26.59,'1-17',2.48,59.91,705
S05M075,H Ssenyondo,86.49,LSG,,,0.0,'3-43',4.24,86.49,706
S02M010,SM Curran,86.47,KKR,15(18),14.67,14.17,'2-22',2.67,72.3,707
S05M049,GF Linde,86.46,GT,41(15),46.89,67.03,'1-35',1.01,19.43,708
S05M066,GF Linde,86.44,GT,,,0.0,'3-37',4.1,86.44,709
S05M006,V Kohli,86.37,DC,68(41),76.27,86.37,,,0.0,710
S03M034,JR Hazlewood,86.31,RR,,,0.0,'3-30',3.86,86.31,711
S04M021,Abhishek Sharma,86.29,MI,50(29),50.0,54.8,'1-35',1.8,31.48,712
M032,LS Livingstone,86.29,SRH,58(35),64.26,71.15,'1-33',1.02,15.14,713
S02M045,Priyansh Arya,86.25,SRH,50(16),69.82,86.25,,,0.0,714
S02M069,R Sai Kishore,86.21,GT,0(3),-1.03,-1.77,'2-31',3.82,87.98,715
S02M037,M Pathirana,86.14,RCB,1(2),0.1,-1.08,'3-26',3.69,87.22,716
S04M082,YBK Jaiswal,86.08,RR,72(34),75.33,86.08,,,0.0,717
S04M090,Dhruv Jurel,85.93,RCB,77(46),81.87,85.93,,,0.0,718
S05M031,Ravi Teja,85.9,RCB,,,0.0,'3-12',3.78,85.9,719
S02M060,Fazalhaq Farooqi,85.89,CSK,,,0.0,'2-32',4.12,85.89,720
S03M022,PP Shaw,85.87,MI,75(47),75.0,85.87,,,0.0,721
S02M040,T Stubbs,85.77,CSK,80(47),81.74,85.77,,,0.0,722
S05M020,C Green,85.73,KKR,32(14),36.97,44.08,'1-28',2.01,41.65,723
M017,RR Pant,85.72,PBKS,67(34),74.75,85.72,,,0.0,724
S04M074,FH Allen,85.58,PBKS,53(20),67.57,85.58,,,0.0,725
S05M076,PP Shaw,85.57,RCB,51(42),61.27,85.57,,,0.0,726
S03M042,T Natarajan,85.54,CSK,,,0.0,'2-34',4.33,85.54,727
S04M073,TM Head,85.52,MI,71(49),74.97,85.52,,,0.0,728
S05M051,SH Johnson,85.47,GT,,,0.0,'4-20',3.61,85.47,729
M062,Rashid Khan,85.4,GT,34(23),31.83,31.03,'2-32',2.75,54.37,730
S05M029,Karan Lal,85.36,RR,,,0.0,'2-32',4.25,85.36,731
S02M048,I Sharma,85.24,GT,,,0.0,'4-32',3.88,85.24,732
S05M019,Shashank Singh,85.22,PBKS,8(6),7.48,6.77,'3-25',3.45,78.45,733
S03M004,Ishan Kishan,85.21,KKR,70(41),74.47,85.21,,,0.0,734
S05M030,Abrar Ahmed,85.21,GT,,,0.0,'4-43',3.97,85.21,735
S03M069,FH Allen,85.19,LSG,72(44),73.16,85.19,,,0.0,736
S02M049,GJ Maxwell,85.16,RR,41(21),50.68,59.06,'1-43',1.34,26.09,737
S02M034,KL Rahul,85.15,SRH,69(42),79.53,85.15,,,0.0,738
S02M071,KL Rahul,85.12,SRH,76(50),78.67,85.12,,,0.0,739
S04M058,Naman Dhir,85.1,GT,85(53),85.02,85.1,,,0.0,740
S05M009,RG Sharma,85.09,KKR,58(29),67.61,85.09,,,0.0,741
S02M059,Naman Dhir,85.04,GT,29(22),27.25,24.93,'1-29',2.99,60.11,742
S03M014,TM Head,85.01,CSK,75(51),79.7,87.75,'0-33',0.0,-2.73,743
S02M056,Naman Dhir,85.0,GT,1(2),0.93,-1.27,'3-51',4.55,86.27,744
S02M056,V Nigam,84.97,GT,,,0.0,'3-32',4.12,84.97,745
S02M044,PP Shaw,84.94,MI,67(37),67.51,84.94,,,0.0,746
S05M074,SL Malinga,84.93,PBKS,,,0.0,'3-33',3.91,84.93,747
S04M004,Suyash Sharma,84.89,KKR,,,0.0,'3-31',3.34,84.89,748
S04M053,C Green,84.86,KKR,30(15),35.47,42.05,'1-31',2.28,42.81,749
S03M068,PP Shaw,84.83,MI,78(49),79.85,84.83,,,0.0,750
S03M068,PP Shaw,84.83,MI,78(49),79.85,84.83,,,0.0,751
S03M068,PP Shaw,84.83,MI,78(49),79.85,84.83,,,0.0,752
S03M022,F du Plessis,84.82,CSK,62(38),69.69,84.82,,,0.0,753
M026,T Natarajan,84.76,CSK,,,0.0,'2-17',3.52,84.76,754
S03M028,Q de Kock,84.75,PBKS,62(45),76.38,84.75,,,0.0,755
S03M063,CJ Jordan,84.75,GT,0(3),-0.68,-1.65,'3-34',4.15,86.4,756
S02M072,GJ Maxwell,84.68,RR,75(41),81.0,91.37,'0-22',0.0,-6.69,757
S05M003,Gaurav Puri,84.67,CSK,48(22),59.38,84.67,,,0.0,758
S04M016,Mohammad Nabi,84.67,LSG,6(4),5.76,5.48,'3-29',3.81,79.18,759
S04M079,Nithish Kumar Reddy,84.66,SRH,21(19),17.93,14.45,'2-33',3.11,70.21,760
S05M058,Noor Ahmad,84.61,MI,,,0.0,'3-32',3.72,84.61,761
S05M053,S Dube,84.59,RR,45(26),45.0,48.2,'2-42',1.88,36.39,762
S02M024,SA Yadav,84.59,DC,61(32),74.16,84.59,,,0.0,763
S04M051,H Klaasen,84.57,CSK,75(43),78.28,84.57,,,0.0,764
S04M068,Shubman Gill,84.55,LSG,66(39),72.76,84.55,,,0.0,765
S03M066,V Suryavanshi,84.53,PBKS,65(35),77.45,84.53,,,0.0,766
M041,T Stubbs,84.36,CSK,63(38),70.95,84.36,,,0.0,767
S04M090,YS Chahal,84.32,RCB,1(2),-0.26,-1.3,'4-46',3.23,85.62,768
M053,Shashank Singh,84.19,PBKS,63(31),74.15,84.19,,,0.0,769
S02M005,DP Conway,84.17,GT,72(49),78.96,84.17,,,0.0,770
S04M066,Avesh Khan,84.14,GT,2(5),-0.24,-0.91,'3-49',4.12,85.06,771
M051,Harpreet Brar,84.11,RCB,28(23),28.94,29.15,'1-35',2.55,54.96,772
S02M062,YBK Jaiswal,84.09,RR,63(32),69.69,84.09,,,0.0,773
S02M027,Q de Kock,84.06,PBKS,74(47),77.6,84.06,,,0.0,774
M055,S Dube,84.05,RR,67(35),73.65,84.05,,,0.0,775
S04M058,AB de Villiers,84.04,RR,67(26),67.0,84.04,,,0.0,776
S03M006,AK Markram,84.02,SRH,34(20),37.32,42.26,'2-28',1.51,41.76,777
S02M018,SH Johnson,84.01,SRH,13(11),13.62,15.13,'3-10',2.91,68.89,778
S04M012,Shubman Gill,83.92,LSG,74(50),76.89,83.92,,,0.0,779
S03M042,KA Pollard,83.92,CSK,68(36),71.88,83.92,,,0.0,780
S03M057,N Pooran,83.81,MI,87(51),84.97,83.81,,,0.0,781
S02M072,Mayank Dagar,83.74,RR,,,0.0,'3-43',4.14,83.74,782
M009,SA Yadav,83.72,DC,66(40),77.6,83.72,,,0.0,783
S04M086,Kuldeep Yadav,83.7,SRH,,,0.0,'3-34',3.68,83.7,784
S02M073,SA Yadav,83.57,DC,73(42),74.75,83.57,,,0.0,785
M052,Azmatullah Omarzai,83.57,RR,34(18),38.49,46.85,'1-26',1.73,36.72,786
S04M052,T Natarajan,83.55,CSK,,,0.0,'3-30',3.58,83.55,787
S04M050,MA Starc,83.53,KKR,0(4),-0.3,-1.62,'3-55',4.42,85.15,788
S02M043,SV Samson,83.48,GT,73(46),77.6,83.48,,,0.0,789
S04M092,Akash Vasisht,83.45,DC,34(15),39.51,41.21,'1-26',1.51,42.24,790
S03M069,WG Jacks,83.42,LSG,26(9),28.12,50.15,'1-32',1.86,33.27,791
S02M051,WG Jacks,83.34,LSG,11(4),14.02,18.52,'2-30',3.1,64.82,792
M016,DP Conway,83.32,GT,72(46),76.75,83.32,,,0.0,793
M067,Sikandar Raza,83.32,DC,39(28),39.55,40.0,'2-17',1.95,43.33,794
S05M062,MJ Owen,83.29,DC,47(28),49.18,52.25,'1-42',1.62,31.04,795
S05M015,RD Gaikwad,83.29,GT,69(36),82.2,83.29,,,0.0,796
S04M089,N Pooran,83.25,MI,58(25),66.76,83.25,,,0.0,797
S05M052,Jay Gohil,83.24,LSG,67(29),72.74,83.24,,,0.0,798
S04M090,Harsh Dubey,83.16,RR,8(3),9.06,11.45,'3-31',3.19,71.71,799
M045,R Parag,83.06,MI,69(52),80.45,83.06,,,0.0,800
S02M027,Smaran Ravichandran,83.03,PBKS,72(44),75.95,83.03,,,0.0,801
M002,J Anderson,83.03,MI,,,0.0,'3-51',3.96,83.03,802
S05M001,GJ Maxwell,82.97,RR,81(47),82.42,88.05,'0-8',0.0,-5.08,803
S05M032,SP Narine,82.97,KKR,48(23),56.21,65.64,'1-33',0.85,17.33,804
M007,T Natarajan,82.95,CSK,,,0.0,'3-26',3.98,82.95,805
S05M030,Priyansh Arya,82.94,SRH,71(37),78.19,82.94,,,0.0,806
S04M087,SA Yadav,82.92,DC,69(47),73.63,82.92,,,0.0,807
S04M027,A Sheth,82.88,DC,,,0.0,'3-21',3.78,82.88,808
S05M063,D Wiese,82.84,GT,24(17),27.93,28.77,'1-16',2.29,54.07,809
S03M060,Abishek Porel,82.81,DC,65(35),73.32,82.81,,,0.0,810
S03M016,GJ Maxwell,82.8,RR,3(4),1.85,0.1,'3-31',4.01,82.7,811
S03M021,AD Russell,82.76,DC,29(17),30.33,31.54,'1-18',2.23,51.22,812
S02M029,SS Iyer,82.67,LSG,75(46),78.6,82.67,,,0.0,813
M058,KK Ahmed,82.66,GT,,,0.0,'3-27',4.0,82.66,814
S02M005,RM Patidar,82.59,RR,55(27),59.58,82.59,,,0.0,815
M067,Harpreet Brar,82.54,RCB,10(11),6.34,6.12,'3-27',3.38,76.42,816
S04M077,B Kumar,82.53,KKR,,,0.0,'3-42',3.98,82.53,817
S04M019,S Dube,82.52,RR,62(46),71.08,82.52,,,0.0,818
M004,VR Iyer,82.48,SRH,66(44),75.18,82.48,,,0.0,819
M029,B Sai Sudharsan,82.46,MI,71(55),72.35,82.46,,,0.0,820
M001,Shubman Gill,82.39,LSG,78(55),79.66,82.39,,,0.0,821
S04M005,Harsh Dubey,82.32,RR,3(3),1.46,-0.09,'4-50',3.87,82.41,822
M020,Noor Ahmad,82.32,KKR,0(1),-1.05,-1.76,'3-45',4.02,84.08,823
M058,M Pathirana,82.29,RCB,,,0.0,'2-24',3.88,82.29,824
M003,AR Patel,82.28,CSK,,,0.0,'3-25',3.7,82.28,825
S04M018,WG Jacks,82.27,LSG,49(31),50.54,54.46,'2-31',1.5,27.8,826
S03M025,WG Jacks,82.17,LSG,26(12),26.94,35.53,'2-29',2.19,46.64,827
S03M030,N Sindhu,82.13,DC,74(44),76.17,82.13,,,0.0,828
S04M020,C Sakariya,82.13,SRH,,,0.0,'3-43',3.99,82.13,829
S05M048,SP Narine,82.08,KKR,38(30),34.61,33.36,'2-46',2.37,48.73,830
S05M056,C Green,82.08,KKR,26(18),32.88,40.67,'1-29',2.21,41.41,831
S03M005,Naman Dhir,82.05,GT,59(31),64.45,82.05,,,0.0,832
S05M061,S Dube,82.0,RR,52(38),68.28,70.43,'1-38',0.69,11.57,833
M004,LS Livingstone,81.99,SRH,39(22),45.98,51.52,'1-27',1.57,30.47,834
S05M013,Shadab Khan,81.96,SRH,5(3),4.78,4.44,'2-35',3.72,77.52,835
S04M045,M Pathirana,81.9,RCB,,,0.0,'4-56',3.92,81.9,836
S02M028,Mohammad Nabi,81.89,GT,,,0.0,'3-30',3.77,81.89,837
S04M041,FH Allen,81.87,PBKS,68(47),68.13,81.87,,,0.0,838
S05M039,Abhishek Sharma,81.85,MI,54(31),54.82,81.85,,,0.0,839
S02M074,Priyansh Arya,81.8,SRH,67(36),76.95,81.8,,,0.0,840
M054,SV Samson,81.79,GT,83(59),82.57,81.79,,,0.0,841
S04M081,AR Patel,81.76,CSK,24(10),30.47,38.04,'1-27',2.05,43.72,842
M062,Azmatullah Omarzai,81.74,RR,43(23),47.88,51.7,'1-36',1.66,30.04,843
S05M077,RK Singh,81.64,MI,57(27),76.71,81.64,,,0.0,844
S04M034,GJ Maxwell,81.56,RR,47(30),46.62,46.09,'1-42',1.99,35.47,845
S05M033,JC Archer,81.54,LSG,,,0.0,'4-33',3.57,81.54,846
S05M059,SA Yadav,81.47,DC,67(39),75.83,81.47,,,0.0,847
S05M065,Tilak Varma,81.38,CSK,76(50),76.63,81.38,,,0.0,848
S04M079,RK Singh,81.37,MI,75(39),78.42,81.37,,,0.0,849
S02M033,MR Marsh,81.34,DC,,,0.0,'3-26',3.8,81.34,850
S03M005,K Kartikeya,81.3,GT,,,0.0,'2-22',3.32,81.3,851
S03M050,TM Head,81.27,CSK,68(49),73.76,81.27,,,0.0,852
S02M054,RD Rickelton,81.26,RR,64(27),70.04,81.26,,,0.0,853
S05M072,RD Rickelton,81.23,LSG,80(45),80.25,81.23,,,0.0,854
S03M027,Rasikh Salam,81.19,GT,,,0.0,'3-41',3.85,81.19,855
S05M082,Avesh Khan,81.17,GT,,,0.0,'3-21',3.18,81.17,856
S03M074,JP Inglis,81.12,GT,55(22),69.68,81.12,,,0.0,857
S02M006,M Prasidh Krishna,81.12,DC,,,0.0,'2-36',3.91,81.12,858
S02M011,PD Salt,81.12,RCB,71(51),75.16,81.12,,,0.0,859
S02M037,C Green,81.1,RCB,28(15),31.63,36.33,'1-10',1.56,44.77,860
S04M068,MR Marsh,81.1,SRH,40(20),45.24,49.88,'1-9',1.21,31.22,861
S04M084,RA Bawa,81.07,SRH,,,0.0,'2-16',3.56,81.07,862
S04M052,Tilak Varma,80.99,CSK,62(40),72.23,80.99,,,0.0,863
S04M045,Khrievitso Kense,80.99,RCB,,,0.0,'2-20',2.45,80.99,864
S03M047,BJ McMullen,80.98,DC,51(16),53.29,84.87,'0-41',0.0,-3.89,865
S04M076,Arshad Khan,80.97,RR,22(10),25.32,28.2,'1-52',2.82,52.77,866
S04M091,MP Yadav,80.94,PBKS,,,0.0,'3-34',3.59,80.94,867
S03M034,Abishek Porel,80.94,DC,57(20),66.01,80.94,,,0.0,868
S04M084,MR Marsh,80.88,SRH,58(33),59.84,84.0,'0-16',0.0,-3.12,869
S03M064,PHKD Mendis,80.79,KKR,22(10),25.47,35.29,'1-34',2.42,45.5,870
S05M022,D Brevis,80.79,RR,41(17),45.54,54.74,'1-36',1.13,26.05,871
S05M049,Abrar Ahmed,80.78,GT,,,0.0,'3-42',3.91,80.78,872
S04M053,Shivank Vashisth,80.77,RCB,,,0.0,'2-19',3.44,80.77,873
S02M071,BM Duckett,80.74,SRH,75(51),76.68,80.74,,,0.0,874
S02M046,A Nortje,80.73,RCB,,,0.0,'3-27',3.7,80.73,875
S04M085,SS Iyer,80.7,LSG,61(31),70.45,80.7,,,0.0,876
M049,HH Pandya,80.69,MI,,,0.0,'2-36',3.66,80.69,877
S04M037,Khrievitso Kense,80.69,RCB,,,0.0,'2-33',4.15,80.69,878
S02M048,SV Samson,80.69,GT,56(37),71.45,80.69,,,0.0,879
S04M026,P Simran Singh,80.68,SRH,72(46),74.47,80.68,,,0.0,880
S05M047,M Pathirana,80.67,RCB,,,0.0,'3-25',3.35,80.67,881
S02M063,M Pathirana,80.65,RCB,,,0.0,'3-38',3.38,80.65,882
M006,AM Rahane,80.62,KKR,75(51),76.43,80.62,,,0.0,883
S03M019,Ashutosh Sharma,80.44,RCB,43(19),46.39,53.96,'1-28',1.46,26.48,884
S04M074,Utkarsh Singh,80.38,PBKS,7(11),4.65,1.75,'2-11',2.89,78.62,885
S03M065,MP Yadav,80.38,CSK,,,0.0,'3-52',3.96,80.38,886
S03M037,GJ Maxwell,80.34,RR,63(38),63.68,65.41,'1-36',0.9,14.92,887
M022,JA Richardson,80.25,MI,,,0.0,'3-37',3.88,80.25,888
S04M036,WL Madsen,80.23,MI,64(39),72.91,83.64,'0-14',0.0,-3.41,889
S03M026,TM Head,80.23,CSK,69(35),69.97,80.23,,,0.0,890
S04M047,V Puthur,80.21,DC,,,0.0,'3-31',3.69,80.21,891
M067,RA Jadeja,80.2,DC,20(16),17.6,15.67,'2-28',3.19,64.52,892
S05M061,PWH de Silva,80.2,RCB,,,0.0,'3-31',3.96,80.2,893
S03M057,Abhishek Sharma,80.19,MI,84(48),85.55,86.43,'0-11',0.0,-6.24,894
S05M034,AK Markram,80.18,DC,21(18),21.0,23.27,'3-16',2.73,56.91,895
S02M009,JC Archer,80.18,LSG,3(4),1.22,0.09,'2-39',3.74,80.09,896
S03M071,R Parag,80.12,GT,58(25),67.74,80.12,,,0.0,897
M031,TA Boult,80.12,PBKS,7(3),11.99,25.25,'2-32',3.56,54.87,898
S04M050,RG Sharma,80.11,KKR,51(25),56.42,80.11,,,0.0,899
S02M022,Tilak Varma,80.08,CSK,62(45),72.23,87.55,'0-11',0.0,-7.47,900
S05M013,B Sai Sudharsan,80.08,CSK,64(44),73.66,80.08,,,0.0,901
M015,V Kohli,80.04,DC,64(42),67.35,80.04,,,0.0,902
M048,Urvil Patel,79.92,DC,67(35),74.66,79.92,,,0.0,903
S04M085,JP Inglis,79.85,GT,67(36),72.67,79.85,,,0.0,904
S02M004,SM Curran,79.83,KKR,7(6),6.19,4.81,'2-44',3.76,75.02,905
S04M070,FH Allen,79.82,PBKS,73(47),74.39,79.82,,,0.0,906
S02M032,TM Head,79.79,CSK,65(44),70.64,79.79,,,0.0,907
S03M013,AD Russell,79.78,DC,0(1),-0.42,-1.75,'2-22',3.35,81.53,908
S03M065,BA Stokes,79.68,LSG,7(7),4.93,3.38,'3-29',3.31,76.29,909
S02M039,SN Thakur,79.64,DC,,,0.0,'2-34',3.87,79.64,910
M003,T Natarajan,79.62,CSK,,,0.0,'4-16',3.38,79.62,911
S04M010,B Sai Sudharsan,79.58,CSK,62(41),73.51,79.58,,,0.0,912
S04M032,Washington Sundar,79.56,PBKS,30(18),32.29,34.98,'1-30',2.41,44.58,913
S03M053,Sandeep Sharma,79.55,RR,1(1),-0.49,-1.23,'3-31',3.81,80.79,914
S05M015,D Wiese,79.47,GT,7(4),5.68,5.57,'2-57',3.62,73.89,915
S03M074,Akash Vasisht,79.39,MI,40(29),39.72,39.1,'1-49',2.34,40.29,916
M060,AR Patel,79.39,CSK,,,0.0,'3-24',3.75,79.39,917
M007,HH Pandya,79.33,MI,19(17),21.39,25.94,'2-26',2.19,53.39,918
S04M034,PD Salt,79.29,RCB,72(44),74.74,79.29,,,0.0,919
S04M029,JP Inglis,79.28,GT,68(42),73.61,79.28,,,0.0,920
S05M023,N Pooran,79.25,MI,54(35),64.08,79.25,,,0.0,921
S04M039,AD Russell,79.24,DC,33(10),42.88,59.68,'1-12',0.89,19.56,922
M044,GJ Maxwell,79.14,RR,50(31),54.17,60.61,'1-38',1.04,18.52,923
M064,D Padikkal,79.13,KKR,64(40),71.92,79.13,,,0.0,924
S02M025,JC Buttler,79.1,KKR,66(46),71.98,79.1,,,0.0,925
S02M059,JP Inglis,79.09,GT,59(28),67.61,79.09,,,0.0,926
S04M081,YS Chahal,79.09,RCB,,,0.0,'4-36',3.88,79.09,927
S02M037,Rasikh Salam,79.03,GT,,,0.0,'4-25',3.62,79.03,928
S05M072,Arshdeep Singh,79.02,LSG,,,0.0,'3-42',3.89,79.02,929
S02M069,BA Stokes,78.99,LSG,69(37),71.69,83.58,'0-38',0.0,-4.59,930
M038,N Rana,78.99,KKR,56(28),69.16,78.99,,,0.0,931
S02M043,Naman Dhir,78.98,GT,67(41),72.26,78.98,,,0.0,932
S04M082,Abhishek Sharma,78.98,MI,67(32),73.66,78.98,,,0.0,933
S03M017,DAJ Bracewell,78.96,MI,14(11),12.6,10.49,'3-36',3.94,68.48,934
S05M071,Fazalhaq Farooqi,78.96,CSK,1(1),-0.41,-1.47,'2-33',3.94,80.43,935
M062,YBK Jaiswal,78.9,RR,51(23),66.66,78.9,,,0.0,936
S04M085,Sameer Rizvi,78.9,LSG,61(31),69.59,78.9,,,0.0,937
M007,M Siddharth,78.83,CSK,,,0.0,'4-22',3.14,78.83,938
M062,Naman Dhir,78.83,GT,73(48),77.26,78.83,,,0.0,939
S03M044,SP Narine,78.81,LSG,14(7),16.76,18.48,'2-33',2.77,60.33,940
S04M054,GJ Maxwell,78.81,RR,65(32),72.66,84.9,'0-11',0.0,-6.09,941
S04M018,RD Rickelton,78.8,LSG,62(35),66.72,78.8,,,0.0,942
S03M035,B Sai Sudharsan,78.7,RCB,72(49),75.64,78.7,,,0.0,943
S02M067,Harpreet Brar,78.68,RCB,3(2),2.5,0.87,'2-30',3.69,77.81,944
S04M037,Ishaan Gadekar,78.62,RCB,69(50),71.4,78.62,,,0.0,945
S03M047,AJ Tye,78.62,DC,,,0.0,'3-37',3.47,78.62,946
S04M019,Arshad Khan,78.57,RR,4(2),4.19,4.44,'2-42',3.84,74.13,947
S05M021,SN Thakur,78.45,GT,6(2),8.53,11.39,'2-54',3.77,67.06,948
M022,Abhishek Sharma,78.45,MI,0(2),-0.6,-1.64,'3-39',3.93,80.08,949
S03M060,JM Bairstow,78.45,KKR,60(31),69.34,78.45,,,0.0,950
S02M020,V Puthur,78.45,LSG,,,0.0,'2-50',4.06,78.45,951
S04M063,R Powell,78.41,KKR,49(25),68.88,78.41,,,0.0,952
S05M068,AR Ramjani,78.39,PBKS,6(11),1.91,1.86,'2-31',3.54,76.53,953
S05M050,JM Sharma,78.38,RCB,52(19),63.44,78.38,,,0.0,954
S02M030,JC Buttler,78.36,KKR,53(20),68.56,78.36,,,0.0,955
S02M038,Shashank Singh,78.36,PBKS,45(24),58.97,78.36,,,0.0,956
S05M007,FH Allen,78.31,PBKS,48(22),56.84,78.31,,,0.0,957
M027,KL Rahul,78.31,SRH,50(39),67.63,78.31,,,0.0,958
S03M072,JJ Bumrah,78.23,MI,,,0.0,'4-35',3.68,78.23,959
S04M059,Q de Kock,78.22,KKR,63(42),67.85,78.22,,,0.0,960
M055,Abhishek Sharma,78.2,MI,34(17),41.4,49.93,'1-18',1.41,28.27,961
S05M018,SA Yadav,78.16,DC,66(38),71.18,78.16,,,0.0,962
S02M003,PP Shaw,78.15,MI,69(48),71.85,78.15,,,0.0,963
S03M032,Ishan Kishan,78.11,KKR,70(41),71.75,78.11,,,0.0,964
S03M065,Abdul Samad,78.08,LSG,49(20),66.58,79.69,'0-5',0.0,-1.61,965
S04M055,Ishan Kishan,78.03,MI,72(41),73.86,78.03,,,0.0,966
S04M001,JP Inglis,78.03,GT,75(47),75.44,78.03,,,0.0,967
S04M087,AK Markram,78.01,DC,30(16),31.62,34.87,'2-31',2.16,43.14,968
M070,MA Starc,77.99,KKR,,,0.0,'2-34',3.61,77.99,969
S05M006,Noor Ahmad,77.93,MI,,,0.0,'3-43',3.85,77.93,970
S02M032,Naman Dhir,77.91,GT,68(40),75.43,77.91,,,0.0,971
