bowler,venue,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
KH Pandya,CSK,30,4,7,7.5,6.0,4.0,RR
TA Boult,RR,149,4,35,9.31,24.0,16.0,MI
GJ Maxwell,SRH,97,4,24,8.08,18.0,12.0,DC
LI Meriwala,PBKS,60,4,18,7.5,12.0,8.0,DC
Fazalhaq Farooqi,GT,57,4,15,7.12,12.0,8.0,CSK
Tanush Kotian,MI,92,4,18,10.22,13.5,9.0,CSK
SP Narine,SRH,208,4,33,9.18,34.0,22.4,KKR
LS Livingstone,DC,72,4,14,9.0,12.0,8.0,KKR
A Nagwaswalla,KKR,54,4,22,7.71,10.5,7.0,RR
KA Maharaj,PBKS,94,4,30,8.55,16.5,11.0,SRH
JR Hazlewood,GT,112,4,25,7.47,22.5,15.0,RR
T Natarajan,RR,87,4,26,8.7,15.0,10.0,CSK
K Kartikeya,RR,83,4,22,8.3,15.0,10.0,LSG
LS Livingstone,MI,46,4,12,9.2,7.5,5.0,KKR
I Sharma,CSK,32,4,11,8.0,6.0,4.0,
Umran Malik,MI,118,4,30,9.08,19.5,13.0,
RR Patel,RCB,141,4,25,8.81,24.0,16.0,RCB
Mohammad Nabi,DC,60,4,20,7.5,12.0,8.0,LSG
SL Malinga,CSK,66,4,16,8.25,12.0,8.0,PBKS
Ravi Teja,CSK,42,4,15,6.0,10.5,7.0,RCB
Arshad Khan,LSG,97,4,15,9.7,15.0,10.0,DC
Arshdeep Singh,DC,103,4,30,8.58,18.0,12.0,LSG
Rasikh Salam,PBKS,71,4,15,8.88,12.0,8.0,MI
PJ Cummins,DC,148,4,15,11.38,19.5,13.0,
PJ Cummins,CSK,89,4,29,8.09,16.5,11.0,
Rasikh Salam,RCB,25,4,6,9.38,4.0,2.4,MI
Ashwani Kumar,CSK,34,4,8,8.5,6.0,4.0,RR
PHKD Mendis,KKR,37,4,15,5.41,10.25,6.5,DC
Ashwin Das,RR,59,4,16,7.38,12.0,8.0,LSG
PWH de Silva,PBKS,155,4,35,7.75,30.0,20.0,RCB
Nithish Kumar Reddy,RCB,109,4,11,9.08,18.0,12.0,SRH
HV Patel,RR,171,4,32,8.69,29.5,19.4,GT
Atharva Ankolekar,RR,35,4,6,8.75,6.0,4.0,MI
Ravi Teja,RR,79,4,14,9.88,12.0,8.0,RCB
Shashank Singh,MI,146,4,23,10.43,21.0,14.0,PBKS
Avesh Khan,RR,128,4,16,9.85,19.5,13.0,GT
Azmatullah Omarzai,LSG,154,4,37,8.56,27.0,18.0,
JM Coles,MI,110,4,24,7.86,21.0,14.0,MI
Harpreet Brar,PBKS,113,4,32,7.06,24.0,16.0,GT
Arshad Khan,CSK,45,4,19,5.62,12.0,8.0,DC
Shashank Singh,RCB,171,4,27,12.21,21.0,14.0,PBKS
R Tewatia,RR,108,4,17,9.82,16.5,11.0,
RS Hangargekar,RCB,150,4,37,7.89,28.5,19.0,
AS Roy,GT,214,4,38,9.3,34.5,23.0,GT
AR Patel,RR,112,4,16,9.74,17.25,11.3,CSK
RA Jadeja,GT,149,4,18,10.64,21.0,14.0,SRH
Sandeep Sharma,MI,105,4,27,8.75,18.0,12.0,
RA Bawa,SRH,160,4,20,9.41,25.5,17.0,SRH
Ramandeep Singh,RCB,47,4,10,7.83,9.0,6.0,LSG
JA Richardson,MI,76,4,19,9.5,12.0,8.0,
Shahbaz Ahmed,RR,50,4,14,7.14,10.5,7.0,LSG
Akash Vasisht,RR,76,4,9,9.5,12.0,8.0,SRH
