striker,pitch,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
RD Gaikwad,pace,Middle,2,4,98,55,4,24.5,178.18,GT
Salil Arora,pace,PP,1,3,98,45,0,,217.78,RCB
KL Rahul,spin,Death,1,6,98,61,2,49.0,160.66,SRH
Jay Gohil,pace,Middle,2,3,98,49,1,98.0,200.0,LSG
N Pooran,neutralish,Middle,2,3,98,50,1,98.0,196.0,MI
JM Sharma,spin,Death,1,3,97,45,0,,215.56,RCB
Karan Shinde,spin,Death,2,5,97,43,4,24.25,225.58,RCB
Abishek Porel,spin,Death,1,4,97,44,0,,220.45,RR
S Dube,pace,PP,2,9,96,64,3,32.0,150.0,RR
Abhishek Sharma,neutralish,PP,1,3,96,46,1,96.0,208.7,MI
JC Buttler,pace,PP,1,8,96,76,3,32.0,126.32,LSG
Hassan Nawaz,neutralish,Middle,1,2,96,61,0,,157.38,RCB
RD Rickelton,spin,Middle,2,4,95,64,3,31.67,148.44,LSG
Chirag Jani,pace,Death,1,5,95,49,4,23.75,193.88,CSK
KL Rahul,spin,PP,2,5,95,61,1,95.0,155.74,SRH
N Wadhera,pace,Death,1,9,94,60,7,13.43,156.67,KKR
GJ Maxwell,neutralish,PP,1,5,94,58,2,47.0,162.07,DC
Priyansh Arya,neutralish,PP,1,4,94,56,3,31.33,167.86,RCB
RM Patidar,spin,Death,1,4,94,47,2,47.0,200.0,KKR
Shadab Khan,spin,Death,1,6,93,51,3,31.0,182.35,SRH
SS Iyer,pace,PP,1,10,93,72,4,23.25,129.17,LSG
JP Inglis,pace,PP,2,3,93,50,1,93.0,186.0,GT
SV Samson,spin,Middle,2,6,92,75,6,15.33,122.67,GT
Chirag Jani,pace,Middle,2,6,92,53,4,23.0,173.58,CSK
MW Short,pace,Middle,1,4,92,50,3,30.67,184.0,MI
HC Brook,pace,Middle,1,3,92,72,1,92.0,127.78,
WG Jacks,spin,Middle,1,5,92,70,3,30.67,131.43,LSG
GD Phillips,pace,Death,2,5,92,38,3,30.67,242.11,GT
Tarang Gohel,spin,Middle,1,3,91,53,2,45.5,171.7,DC
Tarang Gohel,pace,PP,2,6,91,61,4,22.75,149.18,DC
KL Rahul,neutralish,Death,1,3,91,33,2,45.5,275.76,SRH
JP Inglis,spin,Death,2,4,90,36,2,45.0,250.0,GT
