striker,bowl_type,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
Naman Dhir,Pace,PP,2,11,109,63,1,109.0,173.02,GT
MJ Owen,Spin,PP,2,6,108,54,1,108.0,200.0,DC
JM Sharma,Pace,Middle,2,13,108,73,3,36.0,147.95,RCB
Suryansh Shedge,Pace,Death,2,9,107,57,6,17.83,187.72,CSK
TH David,Pace,Middle,1,9,107,66,3,35.67,162.12,PBKS
B Sai Sudharsan,Spin,PP,1,10,106,84,2,53.0,126.19,PBKS
Abishek Porel,Spin,Death,1,7,106,50,2,53.0,212.0,RR
S Dube,Spin,PP,1,8,106,75,1,106.0,141.33,RR
VR Iyer,Spin,Death,1,9,105,55,3,35.0,190.91,SRH
Ishaan Gadekar,Spin,Middle,2,7,105,58,5,21.0,181.03,SRH
JP Inglis,Spin,Death,2,6,105,43,1,105.0,244.19,GT
TP Ura,Spin,Death,1,5,105,50,3,35.0,210.0,PBKS
R Parag,Pace,Death,1,10,105,50,4,26.25,210.0,GT
Nithish Kumar Reddy,Pace,Middle,1,8,104,69,3,34.67,150.72,SRH
Kartik Sharma,Spin,Middle,2,6,104,51,1,104.0,203.92,SRH
RG Sharma,Pace,Middle,2,9,104,76,4,26.0,136.84,KKR
RG Sharma,Spin,Death,2,8,103,52,5,20.6,198.08,KKR
Naman Dhir,Pace,Death,2,8,103,52,4,25.75,198.08,GT
N Wadhera,Pace,Middle,1,8,102,88,0,,115.91,KKR
Smaran Ravichandran,Pace,PP,2,8,102,75,3,34.0,136.0,PBKS
Anmolpreet Singh,Spin,Death,1,8,102,48,2,51.0,212.5,CSK
WG Jacks,Spin,PP,2,12,102,76,4,25.5,134.21,LSG
PWH de Silva,Pace,Middle,1,5,101,50,2,50.5,202.0,RCB
RD Gaikwad,Spin,PP,2,11,101,74,6,16.83,136.49,GT
MW Short,Pace,PP,2,8,101,68,2,50.5,148.53,MI
N Rana,Pace,PP,2,9,101,72,2,50.5,140.28,PBKS
B Sai Sudharsan,Pace,Middle,1,7,100,81,3,33.33,123.46,PBKS
C Green,Pace,PP,2,10,100,59,2,50.0,169.49,KKR
TH David,Pace,Death,1,8,100,52,2,50.0,192.31,PBKS
Aniket Verma,Pace,PP,2,10,99,56,3,33.0,176.79,RR
AB de Villiers,Spin,Death,1,8,99,42,3,33.0,235.71,RR
Sameer Rizvi,Spin,Death,2,9,99,51,1,99.0,194.12,LSG
SA Yadav,Pace,PP,2,8,98,56,2,49.0,175.0,DC
J Fraser-McGurk,Pace,PP,2,7,98,55,3,32.67,178.18,KKR
AB de Villiers,Spin,Middle,2,8,98,60,3,32.67,163.33,RR
BM Duckett,Pace,Middle,2,6,98,68,2,49.0,144.12,SRH
T Stubbs,Pace,Death,1,8,98,46,2,49.0,213.04,CSK
Sameer Rizvi,Pace,Middle,2,7,98,52,1,98.0,188.46,LSG
Abdul Samad,Spin,Middle,1,9,98,97,2,49.0,101.03,LSG
AM Rahane,Spin,Middle,2,7,97,82,3,32.33,118.29,MI
WG Jacks,Spin,Death,1,4,97,47,2,48.5,206.38,LSG
RA Jadeja,Spin,Death,2,11,96,49,4,24.0,195.92,SRH
AD Russell,Pace,Death,2,6,96,40,1,96.0,240.0,DC
MJ Owen,Pace,Death,1,7,96,44,5,19.2,218.18,DC
KL Rahul,Pace,Death,2,9,95,43,4,23.75,220.93,SRH
BM Duckett,Pace,PP,1,5,95,50,2,47.5,190.0,SRH
PWH de Silva,Pace,Middle,2,9,94,58,5,18.8,162.07,RCB
Utkarsh Singh,Spin,Death,1,6,94,42,3,31.33,223.81,PBKS
RM Patidar,Spin,Death,1,5,93,48,2,46.5,193.75,KKR
Chirag Jani,Spin,Middle,1,10,93,63,0,,147.62,CSK
Shadab Khan,Spin,Death,1,6,93,51,3,31.0,182.35,SRH
Aniket Verma,Pace,PP,1,9,93,60,1,93.0,155.0,RR
Chirag Jani,Pace,Middle,2,6,92,49,3,30.67,187.76,CSK
KA Pollard,Spin,Middle,2,12,92,71,7,13.14,129.58,CSK
GJ Maxwell,Pace,Death,2,5,92,39,1,92.0,235.9,DC
N Wadhera,Spin,Death,1,8,92,54,3,30.67,170.37,KKR
RK Singh,Pace,Death,1,7,92,45,3,30.67,204.44,MI
PHKD Mendis,Spin,Middle,2,7,92,57,3,30.67,161.4,DC
N Sindhu,Pace,PP,2,9,91,54,3,30.33,168.52,DC
Karan Shinde,Spin,Death,2,7,91,41,4,22.75,221.95,RCB
N Rana,Spin,Middle,1,13,91,76,10,9.1,119.74,PBKS
Priyansh Arya,Spin,Middle,1,8,90,71,5,18.0,126.76,RCB
SS Iyer,Spin,PP,1,10,90,62,3,30.0,145.16,LSG
TM Head,Pace,Middle,1,3,90,58,1,90.0,155.17,
Tarang Gohel,Spin,PP,1,5,90,53,1,90.0,169.81,DC
Karan Shinde,Pace,Death,1,6,90,42,3,30.0,214.29,RCB
MR Marsh,Pace,Middle,2,7,89,54,2,44.5,164.81,SRH
MR Marsh,Spin,Middle,2,8,89,65,5,17.8,136.92,SRH
RD Gaikwad,Pace,Death,1,3,89,36,0,,247.22,GT
